Date,HomeTeam,AwayTeam,xG_Home,xG_Away,P_Home,P_Draw,P_Away,Prediction,Actual,Correct
2024-04-13,RB Leipzig,Wolfsburg,2.72,2.07,0.521,0.181,0.296,H,H,True
2024-04-13,Stuttgart,Ein Frankfurt,1.94,1.52,0.475,0.219,0.305,H,H,True
2024-04-14,Leverkusen,Werder Bremen,1.82,1.91,0.374,0.215,0.411,A,H,False
2024-04-14,Darmstadt,Freiburg,2.05,1.52,0.5,0.213,0.286,H,A,False
2024-04-19,Ein Frankfurt,Augsburg,1.85,2.03,0.36,0.21,0.43,A,H,False
2024-04-20,FC Koln,Darmstadt,1.74,2.01,0.34,0.213,0.447,A,A,True
2024-04-20,Heidenheim,RB Leipzig,2.72,1.61,0.608,0.175,0.215,H,A,False
2024-04-20,Hoffenheim,M'gladbach,1.65,1.59,0.396,0.232,0.371,H,H,True
2024-04-20,Wolfsburg,Bochum,1.53,1.84,0.322,0.225,0.453,A,H,False
2024-04-20,Union Berlin,Bayern Munich,2.71,2.46,0.451,0.179,0.367,H,A,False
2024-04-21,Werder Bremen,Stuttgart,1.57,1.38,0.421,0.244,0.335,H,H,True
2024-04-21,Dortmund,Leverkusen,2.72,2.13,0.511,0.181,0.306,H,D,False
2024-04-21,Freiburg,Mainz,1.63,2.02,0.315,0.214,0.471,A,D,False
2024-04-26,Bochum,Hoffenheim,2.03,1.48,0.502,0.215,0.283,H,H,True
2024-04-27,RB Leipzig,Dortmund,2.72,2.26,0.487,0.181,0.33,H,H,True
2024-04-27,Freiburg,Wolfsburg,2.59,2.07,0.498,0.186,0.315,H,A,False
2024-04-27,Leverkusen,Stuttgart,1.79,1.82,0.384,0.219,0.396,A,D,False
2024-04-27,Augsburg,Werder Bremen,1.49,1.49,0.378,0.244,0.378,A,A,True
2024-04-27,Bayern Munich,Ein Frankfurt,2.72,2.04,0.526,0.181,0.291,H,H,True
2024-04-28,M'gladbach,Union Berlin,2.05,2.03,0.403,0.205,0.392,H,D,False
2024-04-28,Mainz,FC Koln,1.65,1.93,0.334,0.218,0.448,A,D,False
2024-04-28,Darmstadt,Heidenheim,1.98,1.8,0.43,0.213,0.357,H,A,False
2024-05-03,Hoffenheim,RB Leipzig,2.71,1.72,0.586,0.178,0.235,H,D,False
2024-05-04,Dortmund,Augsburg,2.39,2.03,0.468,0.194,0.337,H,H,True
2024-05-04,Stuttgart,Bayern Munich,2.53,1.83,0.533,0.188,0.278,H,H,True
2024-05-04,Werder Bremen,M'gladbach,1.57,1.37,0.422,0.244,0.333,H,D,False
2024-05-04,Wolfsburg,Darmstadt,1.86,2.34,0.311,0.197,0.491,A,H,False
2024-05-04,FC Koln,Freiburg,1.8,1.7,0.408,0.223,0.369,H,D,False
2024-05-05,Ein Frankfurt,Leverkusen,2.72,2.13,0.511,0.181,0.306,H,A,False
2024-05-05,Heidenheim,Mainz,1.82,1.5,0.454,0.226,0.32,H,D,False
2024-05-05,Union Berlin,Bochum,1.48,1.9,0.302,0.223,0.475,A,A,True
2024-05-10,Augsburg,Stuttgart,1.47,1.42,0.386,0.248,0.366,H,A,False
2024-05-11,FC Koln,Union Berlin,1.89,1.69,0.433,0.219,0.348,H,H,True
2024-05-11,Freiburg,Heidenheim,1.78,2.42,0.284,0.193,0.522,A,D,False
